"meal_id","meal_time","food_id","user_id","serving_size","rating"
1,"2022-07-06 12:27:32+09",18,11,25,4
1,"2022-07-06 12:27:32+09",26,11,25,0
1,"2022-07-06 12:27:32+09",47,11,25,1
2,"2022-07-06 18:45:54+09",26,11,300,2
2,"2022-07-06 18:45:54+09",30,11,300,0
2,"2022-07-06 18:45:54+09",49,11,300,2
3,"2022-07-06 20:42:55+09",6,11,500,0
3,"2022-07-06 20:42:55+09",23,11,500,0
3,"2022-07-06 20:42:55+09",38,11,500,0
4,"2022-08-02 13:43:41+09",14,11,25,0
4,"2022-08-02 13:43:41+09",26,11,25,3
4,"2022-08-02 13:43:41+09",36,11,25,0
5,"2022-08-02 18:22:35+09",11,11,300,3
5,"2022-08-02 18:22:35+09",18,11,300,0
5,"2022-08-02 18:22:35+09",21,11,300,0
6,"2022-08-02 23:55:44+09",3,11,250,5
6,"2022-08-02 23:55:44+09",8,11,250,4
6,"2022-08-02 23:55:44+09",42,11,250,1
7,"2022-09-18 13:17:57+09",28,11,50,0
7,"2022-09-18 13:17:57+09",32,11,50,3
7,"2022-09-18 13:17:57+09",37,11,50,2
8,"2022-09-18 17:46:09+09",4,11,100,4
8,"2022-09-18 17:46:09+09",18,11,100,0
8,"2022-09-18 17:46:09+09",30,11,100,2
9,"2022-09-18 23:08:53+09",16,11,300,4
9,"2022-09-18 23:08:53+09",41,11,300,0
9,"2022-09-18 23:08:53+09",43,11,300,2
10,"2022-06-22 13:07:10+09",9,11,50,0
10,"2022-06-22 13:07:10+09",11,11,50,3
10,"2022-06-22 13:07:10+09",39,11,50,2
11,"2022-06-22 17:46:49+09",31,11,400,0
11,"2022-06-22 17:46:49+09",36,11,400,3
11,"2022-06-22 17:46:49+09",43,11,400,1
12,"2022-06-22 22:46:42+09",21,11,200,3
12,"2022-06-22 22:46:42+09",25,11,200,2
12,"2022-06-22 22:46:42+09",26,11,200,0
13,"2022-01-18 13:29:30+09",10,11,300,3
13,"2022-01-18 13:29:30+09",27,11,300,2
13,"2022-01-18 13:29:30+09",41,11,300,0
14,"2022-01-18 17:19:35+09",10,11,200,3
14,"2022-01-18 17:19:35+09",18,11,200,4
14,"2022-01-18 17:19:35+09",31,11,200,3
15,"2022-01-18 22:42:14+09",3,11,25,4
15,"2022-01-18 22:42:14+09",41,11,25,1
15,"2022-01-18 22:42:14+09",49,11,25,2
16,"2022-05-04 07:18:18+09",3,11,250,5
16,"2022-05-04 07:18:18+09",12,11,250,0
16,"2022-05-04 07:18:18+09",45,11,250,0
17,"2022-05-04 18:44:18+09",8,11,50,0
17,"2022-05-04 18:44:18+09",16,11,50,4
17,"2022-05-04 18:44:18+09",43,11,50,0
18,"2022-05-04 22:15:56+09",6,11,250,0
18,"2022-05-04 22:15:56+09",14,11,250,0
18,"2022-05-04 22:15:56+09",21,11,250,3
19,"2022-06-18 11:22:55+09",24,11,200,3
19,"2022-06-18 11:22:55+09",31,11,200,3
19,"2022-06-18 11:22:55+09",37,11,200,3
20,"2022-06-18 18:36:31+09",7,11,200,4
20,"2022-06-18 18:36:31+09",9,11,200,4
20,"2022-06-18 18:36:31+09",29,11,200,2
21,"2022-06-18 21:50:42+09",15,11,300,3
21,"2022-06-18 21:50:42+09",21,11,300,2
21,"2022-06-18 21:50:42+09",31,11,300,0
22,"2022-09-25 13:46:02+09",10,11,200,4
22,"2022-09-25 13:46:02+09",21,11,200,2
22,"2022-09-25 13:46:02+09",49,11,200,2
23,"2022-09-25 18:39:38+09",9,11,200,0
23,"2022-09-25 18:39:38+09",21,11,200,3
23,"2022-09-25 18:39:38+09",45,11,200,2
24,"2022-09-25 21:34:46+09",23,11,100,3
24,"2022-09-25 21:34:46+09",34,11,100,3
24,"2022-09-25 21:34:46+09",49,11,100,1
25,"2022-08-08 08:25:11+09",12,11,200,0
25,"2022-08-08 08:25:11+09",24,11,200,2
25,"2022-08-08 08:25:11+09",33,11,200,2
26,"2022-08-08 19:52:37+09",6,11,50,5
26,"2022-08-08 19:52:37+09",18,11,50,4
26,"2022-08-08 19:52:37+09",36,11,50,3
27,"2022-08-08 21:52:15+09",12,11,250,3
27,"2022-08-08 21:52:15+09",18,11,250,4
27,"2022-08-08 21:52:15+09",27,11,250,2
28,"2022-06-17 11:19:01+09",2,11,200,0
28,"2022-06-17 11:19:01+09",25,11,200,2
28,"2022-06-17 11:19:01+09",39,11,200,2
29,"2022-06-17 17:05:01+09",27,11,100,0
29,"2022-06-17 17:05:01+09",32,11,100,2
29,"2022-06-17 17:05:01+09",38,11,100,0
30,"2022-06-17 20:01:18+09",9,11,100,0
30,"2022-06-17 20:01:18+09",20,11,100,0
30,"2022-06-17 20:01:18+09",21,11,100,0
31,"2022-07-28 12:49:33+09",6,11,250,0
31,"2022-07-28 12:49:33+09",31,11,250,3
31,"2022-07-28 12:49:33+09",44,11,250,1
32,"2022-07-28 19:01:42+09",1,11,100,4
32,"2022-07-28 19:01:42+09",22,11,100,2
32,"2022-07-28 19:01:42+09",24,11,100,0
33,"2022-07-28 21:08:26+09",2,11,300,0
33,"2022-07-28 21:08:26+09",5,11,300,0
33,"2022-07-28 21:08:26+09",47,11,300,2
34,"2022-12-20 09:34:40+09",2,11,400,4
34,"2022-12-20 09:34:40+09",14,11,400,0
34,"2022-12-20 09:34:40+09",40,11,400,2
35,"2022-12-20 19:14:29+09",6,11,500,5
35,"2022-12-20 19:14:29+09",14,11,500,3
35,"2022-12-20 19:14:29+09",35,11,500,2
36,"2022-12-20 22:57:07+09",13,11,300,3
36,"2022-12-20 22:57:07+09",14,11,300,3
36,"2022-12-20 22:57:07+09",37,11,300,0
37,"2022-01-18 12:38:34+09",24,11,25,0
37,"2022-01-18 12:38:34+09",28,11,25,3
37,"2022-01-18 12:38:34+09",33,11,25,3
38,"2022-01-18 19:50:52+09",16,11,250,4
38,"2022-01-18 19:50:52+09",25,11,250,0
38,"2022-01-18 19:50:52+09",35,11,250,3
39,"2022-01-18 21:49:15+09",15,11,25,4
39,"2022-01-18 21:49:15+09",21,11,25,2
39,"2022-01-18 21:49:15+09",38,11,25,3
40,"2022-06-14 12:45:19+09",7,11,100,4
40,"2022-06-14 12:45:19+09",43,11,100,0
40,"2022-06-14 12:45:19+09",44,11,100,2
41,"2022-06-14 18:29:47+09",8,11,100,5
41,"2022-06-14 18:29:47+09",36,11,100,2
41,"2022-06-14 18:29:47+09",49,11,100,2
42,"2022-06-14 23:01:23+09",13,11,300,0
42,"2022-06-14 23:01:23+09",15,11,300,3
42,"2022-06-14 23:01:23+09",29,11,300,0
43,"2022-05-23 08:40:08+09",21,11,50,2
43,"2022-05-23 08:40:08+09",27,11,50,3
43,"2022-05-23 08:40:08+09",29,11,50,0
44,"2022-05-23 18:14:43+09",2,11,250,4
44,"2022-05-23 18:14:43+09",30,11,250,2
44,"2022-05-23 18:14:43+09",39,11,250,3
45,"2022-05-23 23:03:07+09",18,11,400,4
45,"2022-05-23 23:03:07+09",43,11,400,0
45,"2022-05-23 23:03:07+09",44,11,400,1
46,"2022-07-16 11:09:58+09",4,11,400,5
46,"2022-07-16 11:09:58+09",23,11,400,3
46,"2022-07-16 11:09:58+09",46,11,400,1
47,"2022-07-16 18:21:28+09",14,11,50,3
47,"2022-07-16 18:21:28+09",28,11,50,2
47,"2022-07-16 18:21:28+09",33,11,50,3
48,"2022-07-16 21:19:24+09",7,11,250,5
48,"2022-07-16 21:19:24+09",13,11,250,4
48,"2022-07-16 21:19:24+09",15,11,250,0
49,"2022-09-26 10:59:36+09",7,11,100,5
49,"2022-09-26 10:59:36+09",19,11,100,4
49,"2022-09-26 10:59:36+09",22,11,100,3
50,"2022-09-26 18:17:05+09",4,11,300,4
50,"2022-09-26 18:17:05+09",11,11,300,0
50,"2022-09-26 18:17:05+09",34,11,300,3
51,"2022-09-26 22:47:12+09",10,11,250,4
51,"2022-09-26 22:47:12+09",28,11,250,3
51,"2022-09-26 22:47:12+09",33,11,250,3
52,"2022-08-15 10:25:09+09",16,11,500,4
52,"2022-08-15 10:25:09+09",19,11,500,3
52,"2022-08-15 10:25:09+09",21,11,500,0
53,"2022-08-15 17:20:24+09",25,11,250,3
53,"2022-08-15 17:20:24+09",45,11,250,1
53,"2022-08-15 17:20:24+09",49,11,250,2
54,"2022-08-15 20:31:29+09",2,11,200,5
54,"2022-08-15 20:31:29+09",43,11,200,2
54,"2022-08-15 20:31:29+09",47,11,200,0
55,"2022-07-22 13:36:43+09",18,11,100,0
55,"2022-07-22 13:36:43+09",19,11,100,4
55,"2022-07-22 13:36:43+09",36,11,100,2
56,"2022-07-22 18:38:30+09",6,11,500,0
56,"2022-07-22 18:38:30+09",22,11,500,0
56,"2022-07-22 18:38:30+09",42,11,500,1
57,"2022-07-22 20:41:06+09",13,11,250,3
57,"2022-07-22 20:41:06+09",17,11,250,0
57,"2022-07-22 20:41:06+09",30,11,250,3
58,"2022-02-11 11:38:05+09",2,11,50,4
58,"2022-02-11 11:38:05+09",10,11,50,0
58,"2022-02-11 11:38:05+09",18,11,50,3
59,"2022-02-11 18:47:16+09",3,11,300,5
59,"2022-02-11 18:47:16+09",35,11,300,2
59,"2022-02-11 18:47:16+09",49,11,300,2
60,"2022-02-11 21:39:51+09",36,11,250,0
60,"2022-02-11 21:39:51+09",39,11,250,0
60,"2022-02-11 21:39:51+09",40,11,250,0
61,"2022-05-14 10:37:02+09",13,11,300,0
61,"2022-05-14 10:37:02+09",40,11,300,1
61,"2022-05-14 10:37:02+09",41,11,300,2
62,"2022-05-14 19:28:56+09",28,11,25,3
62,"2022-05-14 19:28:56+09",33,11,25,0
62,"2022-05-14 19:28:56+09",37,11,25,0
63,"2022-05-14 22:52:50+09",12,11,50,3
63,"2022-05-14 22:52:50+09",38,11,50,3
63,"2022-05-14 22:52:50+09",48,11,50,1
64,"2022-12-27 07:48:18+09",17,11,400,4
64,"2022-12-27 07:48:18+09",27,11,400,3
64,"2022-12-27 07:48:18+09",34,11,400,3
65,"2022-12-27 17:14:33+09",12,11,200,0
65,"2022-12-27 17:14:33+09",43,11,200,0
65,"2022-12-27 17:14:33+09",45,11,200,2
66,"2022-12-27 22:53:01+09",24,11,25,0
66,"2022-12-27 22:53:01+09",39,11,25,0
66,"2022-12-27 22:53:01+09",40,11,25,1
67,"2022-05-11 07:10:00+09",8,11,500,0
67,"2022-05-11 07:10:00+09",11,11,500,0
67,"2022-05-11 07:10:00+09",35,11,500,2
68,"2022-05-11 18:25:53+09",14,11,250,4
68,"2022-05-11 18:25:53+09",23,11,250,3
68,"2022-05-11 18:25:53+09",49,11,250,0
69,"2022-05-11 20:22:28+09",24,11,400,3
69,"2022-05-11 20:22:28+09",34,11,400,3
69,"2022-05-11 20:22:28+09",49,11,400,2
70,"2022-05-26 07:53:29+09",13,11,100,0
70,"2022-05-26 07:53:29+09",27,11,100,2
70,"2022-05-26 07:53:29+09",29,11,100,3
71,"2022-05-26 19:06:55+09",10,11,25,0
71,"2022-05-26 19:06:55+09",11,11,25,3
71,"2022-05-26 19:06:55+09",49,11,25,1
72,"2022-05-26 22:34:03+09",26,11,50,3
72,"2022-05-26 22:34:03+09",39,11,50,3
72,"2022-05-26 22:34:03+09",43,11,50,2
73,"2022-11-15 08:13:55+09",20,11,400,0
73,"2022-11-15 08:13:55+09",41,11,400,0
