"food_id","f_name","calories","protein","fat","carbs","serving_size","ingredients","allergens","dietary_restriction","flavor","f_catogory","cuisine"
1,"agnolotti",280,48,99,140,109,"pasta dough, beef, vegetables","gluten, eggs, dairy","vegan, vegetarian, gluten_intolerance","savory","main","italian"
2,"ahi_tuna",111,100,5,0,85,"ahi tuna, soy sauce, wasabi, pickled ginger, avocado, seaweed, rice","fish","vegetarian, vegan","sweet","appetizer, main","japaneses"
3,"antipasto_salad",201,44,135,21.2,114,"salami, pepperoni, mozzarella cheese, provolone cheese, olives, roasted red peppers, artichoke hears, cherry tomatoes, lettuce, italian dressing","None","vegetarian, vegan, gluten_intolerance","savory","appetizer","italian"
4,"apple_cake",241,8,108,132,74,"Apples, flour, sugar, eggs, butter, baking powder, cinnamon, nutmeg, salt","milk, eggs, gluten","vegan","sweet","dessert","french"
5,"babka",226,14,108,104,60,"Flour, sugar, eggs, butter, milk or water, yeast, and chocolate or cinnamon filling","gluten, dairy, eggs","gluten_intolerance","sweet","dessert","jewish"
6,"baked_apple",156,2,29,136,171,"apples, butter, brown sugar, cinnamon, raisins, nuts, fruits","nuts, dairy, gluten","None","sweet, cinnamony","dessert","american, european, middle eastern"
7,"baked_beans",239,48,8,216,254,"navy beans, bacon, salt pork, brown sugar, ketchup, mustard, onion","soybeans, gluten","gluten_intolerance","sweet, savory, smoky","side ","american"
8,"baked_potato",161,17,1,148,173,"potato, butter, sour cream, cheese, back bits, chives, herbs","dairy","None","sweet, earthy, salty","side, main","american, british, irish"
9,"baked_salmon",468,200,252,0,227,"salmon, olive oil, lemon juice, salt, pepper, garlic","fish","pescatarian","savory","main","american, european, mediterranean"
10,"baklava",306,22,180,116,76,"phyllo dough, nuts, butter, oil, syrup","nuts, gluten, dairy","gluten_intolerance, vegan","sweet, nutty","dessert","middle eastern, mediterranean, balkan"
11,"beef_ribs",1014,264,729,0,289,"beef short ribs, seasonings, salt, pepper, garlic, paprika, barbecue sause","None","vegetarians, vegan","savory, meaty, sweet","main","korean, chinese, brazilian"
12,"beef_stew",535,232,144,164,504,"beef, vegetables, onion, carrot, celery, garlic, potatoes, beef broth, tomato paste, bay leaves, rosemary","gulten","vegan, vegetarian","hearty, savory","main","french, irish, american"
13,"beef_stroganoff",391,100,207,84,254,"beef, onions, mushrooms, beef broth, sour cream, flour, egg noodles, garlic, white win","dairy, gluten, soybeans","vegetarian, vegan","savory, creamy, , sweet, smoky","main","russian"
