food_id,f_name,calories,protein,fat,carbs,ref_serving_size,cuisine,ingredients,allergens,dietary_restriction,flavor_profile,food_category
1,hot-dog,150,5,10,20,100,fast food,"bun, sausage",none,none,savory,main
2,apple,52,0.3,0.2,13.8,100,fruits,apple,none,none,sweet,snack
3,artichoke,60,2.7,0.4,13.5,100,vegetables,artichoke,none,"vegetarian, vegan",savory,side
4,asparagus,20,2.2,0.2,4,100,vegetables,asparagus,none,vegetarian,savory,side
5,bagel,250,9,3,50,100,bakery,"flour, water",gluten,none,savory,main
6,baked-goods,300,6,12,45,100,bakery,"flour, sugar",gluten,none,sweet,dessert
7,banana,96,1.2,0.2,22,100,fruits,banana,none,none,sweet,snack
8,beer,154,0.7,0,13,100,beverages,"barley, hops",gluten,none,bitter,beverage
9,bell-pepper,31,1.3,0.3,6,100,vegetables,bell-pepper,none,none,savory,side
10,bread,264,8.9,3.6,48.4,100,bakery,"flour, water",gluten,none,savory,main
11,broccoli,55,3.7,0.6,11.2,100,vegetables,broccoli,none,"vegetarian, vegan",savory,side
12,burrito,420,15,20,45,100,mexican,"tortilla, meat, beans, rice",none,none,savory,main
13,cabbage,25,1.3,0.1,5.8,100,vegetables,cabbage,none,"vegetarian, vegan",savory,side
14,cake,250,2,12,34,100,bakery,"flour, sugar, butter, eggs",eggs,none,sweet,dessert
15,candy,150,0,0.3,37,100,snacks,sugar,none,none,sweet,snack
16,cantaloupe,34,0.8,0.2,8.2,100,fruits,cantaloupe,none,none,sweet,snack
17,carrot,41,0.9,0.2,10,100,vegetables,carrot,none,none,sweet,snack
18,common-fig,74,0.8,0.3,19.2,100,fruits,common-fig,none,none,sweet,snack
19,cookie,152,1.6,7.3,21.4,100,bakery,"flour, sugar, butter, chocolate chips",none,none,sweet,dessert
20,dessert,300,5,15,38,100,various,various,none,none,sweet,dessert
21,french-fries,365,3.4,17,52,100,fast food,potatoes,none,none,savory,side
22,grape,69,0.7,0.2,18,100,fruits,grape,none,none,sweet,snack
23,guacamole,160,2,15,8,100,mexican,"avocado, onion, tomato",none,"vegetarian, vegan",savory,side
24,hot-dog,150,5,10,20,100,fast food,"bun, sausage",none,none,savory,main
25,ice-cream,207,3.9,11,23.4,100,desserts,"milk, sugar, cream, flavorings",dairy,none,sweet,dessert
26,muffin,426,6.1,19,58.3,100,bakery,"flour, sugar, butter, eggs",eggs,none,sweet,dessert
27,orange,43,0.9,0.1,11.2,100,fruits,orange,none,none,sweet,snack
28,pancake,227,6.1,9.2,31.2,100,breakfast,"flour, milk, eggs",eggs,none,sweet,dessert
